"","ID","Gene","GB_ACC","GeneDes"
"200033_at","200033_at","DDX5 /// MIR3064 /// MIR5047","NM_004396","0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003712 // transcription cofactor activity // inferred from electronic annotation /// 0003713 // transcription coactivator activity // inferred from direct assay /// 0003723 // RNA binding // inferred from electronic annotation /// 0003724 // RNA helicase activity // inferred from mutant phenotype /// 0003724 // RNA helicase activity // non-traceable author statement /// 0004004 // ATP-dependent RNA helicase activity // inferred from electronic annotation /// 0004386 // helicase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005516 // calmodulin binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008026 // ATP-dependent helicase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016818 // hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides // inferred from electronic annotation /// 0019899 // enzyme binding // inferred from electronic annotation /// 0030331 // estrogen receptor binding // inferred from direct assay /// 0036002 // pre-mRNA binding // inferred from direct assay /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0048306 // calcium-dependent protein binding // inferred from electronic annotation /// 0050681 // androgen receptor binding // inferred from direct assay"
"200034_s_at","200034_s_at","RPL6","NM_000970","0003677 // DNA binding // traceable author statement /// 0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200038_s_at","200038_s_at","C18orf32 /// RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C","NM_000985","0003735 // structural constituent of ribosome // non-traceable author statement /// 0004871 // signal transducer activity // inferred from mutant phenotype /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200040_at","200040_at","KHDRBS1","NM_006559","0003677 // DNA binding // traceable author statement /// 0003723 // RNA binding // inferred from direct assay /// 0005070 // SH3/SH2 adaptor activity // inferred from physical interaction /// 0005515 // protein binding // inferred from physical interaction /// 0008143 // poly(A) binding // inferred from direct assay /// 0008266 // poly(U) RNA binding // inferred from direct assay /// 0017124 // SH3 domain binding // inferred from electronic annotation /// 0032403 // protein complex binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200043_at","200043_at","ERH","NM_004450","0044822 // poly(A) RNA binding // inferred from direct assay"
"200047_s_at","200047_s_at","YY1","NM_003403","0000400 // four-way junction DNA binding // inferred from direct assay /// 0001078 // RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription // inferred from sequence or structural similarity /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from direct assay /// 0003700 // sequence-specific DNA binding transcription factor activity // traceable author statement /// 0003713 // transcription coactivator activity // traceable author statement /// 0003714 // transcription corepressor activity // traceable author statement /// 0003723 // RNA binding // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0008270 // zinc ion binding // traceable author statement /// 0044212 // transcription regulatory region DNA binding // inferred from direct assay /// 0046872 // metal ion binding // inferred from electronic annotation"
"200057_s_at","200057_s_at","NONO","NM_007363","0000166 // nucleotide binding // inferred from electronic annotation /// 0001047 // core promoter binding // inferred from sequence or structural similarity /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0042802 // identical protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200061_s_at","200061_s_at","RPS24","BC000523","0000166 // nucleotide binding // inferred from electronic annotation /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0031369 // translation initiation factor binding // inferred from sequence or structural similarity /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200062_s_at","200062_s_at","RPL30","L05095","0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0003735 // structural constituent of ribosome // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0046872 // metal ion binding // inferred from electronic annotation"
"200063_s_at","200063_s_at","NPM1","BC002398","0003676 // nucleic acid binding // inferred from electronic annotation /// 0003713 // transcription coactivator activity // inferred from direct assay /// 0003723 // RNA binding // inferred from direct assay /// 0004860 // protein kinase inhibitor activity // inferred from direct assay /// 0004888 // transmembrane signaling receptor activity // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0019901 // protein kinase binding // inferred from physical interaction /// 0030246 // carbohydrate binding // inferred from electronic annotation /// 0030957 // Tat protein binding // inferred from direct assay /// 0042393 // histone binding // inferred from direct assay /// 0042803 // protein homodimerization activity // inferred from direct assay /// 0043023 // ribosomal large subunit binding // inferred from direct assay /// 0043024 // ribosomal small subunit binding // inferred from direct assay /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0046982 // protein heterodimerization activity // inferred from mutant phenotype /// 0051059 // NF-kappaB binding // inferred from direct assay /// 0051059 // NF-kappaB binding // inferred from sequence or structural similarity /// 0051082 // unfolded protein binding // inferred from direct assay /// 0051082 // unfolded protein binding // inferred from sequence or structural similarity"
"200065_s_at","200065_s_at","ARF1 /// MIR3620","AF052179","0000166 // nucleotide binding // inferred from electronic annotation /// 0003924 // GTPase activity // traceable author statement /// 0004871 // signal transducer activity // inferred from electronic annotation /// 0005057 // receptor signaling protein activity // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0005525 // GTP binding // inferred from electronic annotation /// 0019001 // guanyl nucleotide binding // inferred from electronic annotation /// 0031683 // G-protein beta/gamma-subunit complex binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200067_x_at","200067_x_at","SNX3","AL078596","0005515 // protein binding // inferred from physical interaction /// 0008289 // lipid binding // inferred from electronic annotation /// 0019903 // protein phosphatase binding // inferred from physical interaction /// 0032266 // phosphatidylinositol-3-phosphate binding // inferred from direct assay /// 0035091 // phosphatidylinositol binding // inferred from electronic annotation"
"200073_s_at","200073_s_at","HNRNPD","M94630","0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from direct assay /// 0003723 // RNA binding // non-traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0042162 // telomeric DNA binding // inferred from direct assay /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200080_s_at","200080_s_at","H3F3A /// H3F3AP4 /// H3F3B","AI955655","0000979 // RNA polymerase II core promoter sequence-specific DNA binding // inferred from direct assay /// 0000980 // RNA polymerase II distal enhancer sequence-specific DNA binding // inferred from direct assay /// 0003677 // DNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0031492 // nucleosomal DNA binding // inferred from direct assay /// 0046982 // protein heterodimerization activity // inferred from electronic annotation"
"200081_s_at","200081_s_at","RPS6","BE741754","0003735 // structural constituent of ribosome // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0019901 // protein kinase binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200082_s_at","200082_s_at","RPS7","AI805587","0003723 // RNA binding // non-traceable author statement /// 0003735 // structural constituent of ribosome // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200084_at","200084_at","C11orf58","BE748698",""
"200091_s_at","200091_s_at","RPS25","AA888388","0003723 // RNA binding // non-traceable author statement /// 0003735 // structural constituent of ribosome // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200092_s_at","200092_s_at","RPL37","BF216701","0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0003735 // structural constituent of ribosome // traceable author statement /// 0019843 // rRNA binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation"
"200094_s_at","200094_s_at","EEF2","AI004246","0000166 // nucleotide binding // inferred from electronic annotation /// 0003746 // translation elongation factor activity // inferred from electronic annotation /// 0003924 // GTPase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation /// 0008494 // translation activator activity // inferred from genetic interaction /// 0019901 // protein kinase binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200095_x_at","200095_x_at","RPS10","AA320764","0000287 // magnesium ion binding // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0008486 // diphosphoinositol-polyphosphate diphosphatase activity // inferred from direct assay /// 0008486 // diphosphoinositol-polyphosphate diphosphatase activity // inferred from electronic annotation /// 0008486 // diphosphoinositol-polyphosphate diphosphatase activity // traceable author statement /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0046872 // metal ion binding // inferred from electronic annotation /// 0052840 // inositol diphosphate tetrakisphosphate diphosphatase activity // inferred from electronic annotation /// 0052841 // inositol bisdiphosphate tetrakisphosphate diphosphatase activity // inferred from electronic annotation /// 0052842 // inositol diphosphate pentakisphosphate diphosphatase activity // inferred from electronic annotation /// 0052843 // inositol-1-diphosphate-2,3,4,5,6-pentakisphosphate diphosphatase activity // inferred from electronic annotation /// 0052844 // inositol-3-diphosphate-1,2,4,5,6-pentakisphosphate diphosphatase activity // inferred from electronic annotation /// 0052845 // inositol-5-diphosphate-1,2,3,4,6-pentakisphosphate diphosphatase activity // inferred from electronic annotation /// 0052846 // inositol-1,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 1-diphosphatase activity // inferred from electronic annotation /// 0052847 // inositol-1,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity // inferred from electronic annotation /// 0052848 // inositol-3,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity // inferred from electronic annotation"
"200099_s_at","200099_s_at","RPS3A /// SNORD73A","AL356115","0003723 // RNA binding // non-traceable author statement /// 0003735 // structural constituent of ribosome // not recorded /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200603_at","200603_at","PRKAR1A","AL050038","0000166 // nucleotide binding // inferred from electronic annotation /// 0004862 // cAMP-dependent protein kinase inhibitor activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0008603 // cAMP-dependent protein kinase regulator activity // inferred from direct assay /// 0016301 // kinase activity // inferred from electronic annotation /// 0030552 // cAMP binding // inferred from electronic annotation /// 0031625 // ubiquitin protein ligase binding // inferred from direct assay /// 0034236 // protein kinase A catalytic subunit binding // inferred from physical interaction"
"200608_s_at","200608_s_at","RAD21","NM_006265","0005515 // protein binding // inferred from physical interaction"
"200620_at","200620_at","TMEM59","NM_004872","0004175 // endopeptidase activity // inferred from electronic annotation /// 0004867 // serine-type endopeptidase inhibitor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction"
"200625_s_at","200625_s_at","CAP1","NM_006367","0003779 // actin binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation"
"200627_at","200627_at","PTGES3","BC003005","0003720 // telomerase activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0016853 // isomerase activity // inferred from electronic annotation /// 0050220 // prostaglandin-E synthase activity // inferred from direct assay /// 0051082 // unfolded protein binding // inferred from direct assay"
"200633_at","200633_at","UBB","NM_018955","0005515 // protein binding // inferred from physical interaction"
"200663_at","200663_at","CD63","NM_001780","0005515 // protein binding // inferred from physical interaction"
"200667_at","200667_at","UBE2D3","BF448062","0000166 // nucleotide binding // inferred from electronic annotation /// 0004842 // ubiquitin-protein transferase activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0016881 // acid-amino acid ligase activity // inferred from electronic annotation"
"200673_at","200673_at","LAPTM4A","NM_014713",""
"200674_s_at","200674_s_at","RPL32","NM_000994","0003735 // structural constituent of ribosome // non-traceable author statement /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200680_x_at","200680_x_at","HMGB1","NM_002128","0003677 // DNA binding // inferred from electronic annotation /// 0003684 // damaged DNA binding // inferred from sequence or structural similarity /// 0003690 // double-stranded DNA binding // inferred from sequence or structural similarity /// 0003697 // single-stranded DNA binding // inferred from sequence or structural similarity /// 0003700 // sequence-specific DNA binding transcription factor activity // inferred from direct assay /// 0005125 // cytokine activity // inferred from sequence or structural similarity /// 0005515 // protein binding // inferred from physical interaction /// 0008134 // transcription factor binding // inferred from physical interaction /// 0008301 // DNA binding, bending // inferred from mutant phenotype /// 0008301 // DNA binding, bending // inferred from sequence or structural similarity /// 0042056 // chemoattractant activity // inferred from sequence or structural similarity /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0050786 // RAGE receptor binding // inferred from sequence or structural similarity /// 0070491 // repressing transcription factor binding // inferred from physical interaction"
"200689_x_at","200689_x_at","EEF1G /// MIR3654","NM_001404","0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003746 // translation elongation factor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction"
"200715_x_at","200715_x_at","RPL13A /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A","BC000514","0003735 // structural constituent of ribosome // non-traceable author statement /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200716_x_at","200716_x_at","RPL13A /// RPL13AP5 /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A","NM_012423","0003735 // structural constituent of ribosome // non-traceable author statement /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200717_x_at","200717_x_at","RPL7","NM_000971","0003677 // DNA binding // inferred from direct assay /// 0003723 // RNA binding // traceable author statement /// 0003729 // mRNA binding // inferred from direct assay /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0042803 // protein homodimerization activity // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200725_x_at","200725_x_at","RPL10 /// SNORA70","NM_006013","0003735 // structural constituent of ribosome // inferred from direct assay /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200735_x_at","200735_x_at","NACA","NM_005594","0003677 // DNA binding // inferred from electronic annotation /// 0003713 // transcription coactivator activity // inferred from sequence or structural similarity /// 0005515 // protein binding // inferred from physical interaction /// 0017025 // TBP-class protein binding // inferred from sequence or structural similarity"
"200741_s_at","200741_s_at","RPS27","NM_001030","0003677 // DNA binding // non-traceable author statement /// 0003735 // structural constituent of ribosome // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008270 // zinc ion binding // non-traceable author statement /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0046872 // metal ion binding // inferred from electronic annotation"
"200772_x_at","200772_x_at","LOC100506248 /// LOC728026 /// MIR1244-1 /// MIR1244-2 /// MIR1244-3 /// PTMA","BF686442",""
"200773_x_at","200773_x_at","PTMA","NM_002823",""
"200781_s_at","200781_s_at","RPS15A","NM_001019","0003723 // RNA binding // non-traceable author statement /// 0003735 // structural constituent of ribosome // inferred from direct assay /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200794_x_at","200794_x_at","DAZAP2","NM_014764","0005515 // protein binding // inferred from physical interaction /// 0050699 // WW domain binding // inferred from physical interaction"
"200801_x_at","200801_x_at","ACTB","NM_001101","0000166 // nucleotide binding // inferred from electronic annotation /// 0000978 // RNA polymerase II core promoter proximal region sequence-specific DNA binding // inferred from direct assay /// 0000980 // RNA polymerase II distal enhancer sequence-specific DNA binding // inferred from direct assay /// 0005200 // structural constituent of cytoskeleton // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0019894 // kinesin binding // inferred from physical interaction /// 0019901 // protein kinase binding // inferred from electronic annotation /// 0030957 // Tat protein binding // inferred from physical interaction /// 0031492 // nucleosomal DNA binding // inferred from direct assay /// 0050998 // nitric-oxide synthase binding // inferred from physical interaction"
"200817_x_at","200817_x_at","RPS10","NM_001014","0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200834_s_at","200834_s_at","RPS21","NM_001024","0003735 // structural constituent of ribosome // not recorded /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0047485 // protein N-terminus binding // inferred from physical interaction"
"200839_s_at","200839_s_at","CTSB","NM_001908","0004197 // cysteine-type endopeptidase activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0005518 // collagen binding // inferred from direct assay /// 0008233 // peptidase activity // inferred from direct assay /// 0008234 // cysteine-type peptidase activity // inferred from direct assay /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0043394 // proteoglycan binding // inferred from physical interaction"
"200871_s_at","200871_s_at","PSAP","NM_002778","0005515 // protein binding // inferred from physical interaction /// 0008047 // enzyme activator activity // traceable author statement /// 0008289 // lipid binding // traceable author statement"
"200893_at","200893_at","TRA2B","NM_004593","0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0003729 // mRNA binding // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200897_s_at","200897_s_at","PALLD","NM_016081","0003779 // actin binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0051371 // muscle alpha-actinin binding // traceable author statement"
"200902_at","200902_at","SEP15","NM_004261","0005515 // protein binding // inferred from electronic annotation /// 0008430 // selenium binding // inferred from direct assay"
"200909_s_at","200909_s_at","RPLP2 /// SNORA52","NM_001004","0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement"
"200912_s_at","200912_s_at","EIF4A2 /// MIR1248 /// SNORA4 /// SNORA63 /// SNORA81 /// SNORD2","NM_001967","0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0003743 // translation initiation factor activity // inferred from electronic annotation /// 0004386 // helicase activity // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0008026 // ATP-dependent helicase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200926_at","200926_at","RPS23","NM_001025","0003735 // structural constituent of ribosome // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200929_at","200929_at","TMED10","NM_006827","0005515 // protein binding // inferred from physical interaction /// 0019905 // syntaxin binding // inferred from physical interaction /// 0032403 // protein complex binding // inferred from electronic annotation"
"200933_x_at","200933_x_at","RPS4X","NM_001007","0003723 // RNA binding // inferred from electronic annotation /// 0003735 // structural constituent of ribosome // inferred from mutant phenotype /// 0019843 // rRNA binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200949_x_at","200949_x_at","RPS20 /// SNORD54","NM_001023","0003723 // RNA binding // non-traceable author statement /// 0003735 // structural constituent of ribosome // inferred from direct assay /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200958_s_at","200958_s_at","SDCBP","NM_005625","0001948 // glycoprotein binding // inferred from electronic annotation /// 0005109 // frizzled binding // inferred from physical interaction /// 0005137 // interleukin-5 receptor binding // inferred from sequence or structural similarity /// 0005515 // protein binding // inferred from physical interaction /// 0008022 // protein C-terminus binding // inferred from electronic annotation /// 0008093 // cytoskeletal adaptor activity // non-traceable author statement /// 0019838 // growth factor binding // inferred from electronic annotation /// 0042043 // neurexin family protein binding // inferred from electronic annotation /// 0042802 // identical protein binding // inferred from physical interaction /// 0042803 // protein homodimerization activity // inferred from electronic annotation /// 0045545 // syndecan binding // inferred from physical interaction /// 0045545 // syndecan binding // non-traceable author statement /// 0046875 // ephrin receptor binding // inferred from electronic annotation /// 0046982 // protein heterodimerization activity // inferred from physical interaction /// 0047485 // protein N-terminus binding // inferred from physical interaction /// 0050839 // cell adhesion molecule binding // inferred from electronic annotation"
"200963_x_at","200963_x_at","RPL31","NM_000993","0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200972_at","200972_at","TSPAN3","BC000704",""
"201011_at","201011_at","RPN1","NM_002950","0004579 // dolichyl-diphosphooligosaccharide-protein glycotransferase activity // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0016740 // transferase activity // inferred from electronic annotation /// 0016757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
